Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Less than 9th grade Estimate , Less than 9th grade Margin of error (MOE) , Less than 9th grade Percent of total , Less than 9th grade Percent of total margin of error (MOE) ," 9th to 12 Grade, no diploma Estimate "," 9th to 12 Grade, no diploma Margin of error (MOE) "," 9th to 12 Grade, no diploma Percent of total "," 9th to 12 Grade, no diploma Percent of total margin of error (MOE) ", High school graduate Estimate , High school graduate Margin of error (MOE) , High school graduate Percent of total , High school graduate Percent of total margin of error (MOE) ," Some college, no degree Estimate "," Some college, no degree Margin of error (MOE) "," Some college, no degree Percent of total "," Some college, no degree Percent of total margin of error (MOE) ", Associate's degree Estimate , Associate's degree Margin of error (MOE) , Associate's degree Percent of total , Associate's degree Percent of total margin of error (MOE) , Bachelor's degree Estimate , Bachelor's degree Margin of error (MOE) , Bachelor's degree Percent of total , Bachelor's degree Percent of total margin of error (MOE) , Graduate degree Estimate , Graduate degree Margin of error (MOE) , Graduate degree Percent of total , Graduate degree Percent of total margin of error (MOE) , High school or more Estimate , High school or more Margin of error (MOE) , High school or more Percent of total , High school or more Percent of total margin of error (MOE) , Bachelor's degree or more Estimate , Bachelor's degree or more Margin of error (MOE) , Bachelor's degree or more Percent of total , Bachelor's degree or more Percent of total margin of error (MOE) ,
146,IL,Illinois,13," 539,012 "," 6,187 "," 8,353 "," 1,334 ", 1.5 , 0.2 ," 36,483 "," 3,381 ", 6.8 , 0.6 ," 159,955 "," 5,539 ", 29.7 , 1.1 ," 150,405 "," 5,842 ", 27.9 , 1.0 ," 44,338 "," 3,176 ", 8.2 , 0.6 ," 87,182 "," 4,230 ", 16.2 , 0.8 ," 52,296 "," 3,326 ", 9.7 , 0.6 ," 494,176 "," 5,852 ", 91.7 , 0.7 ," 139,478 "," 5,570 ", 25.9 , 1.0 ,
147,IL,Illinois,14," 525,729 "," 7,412 "," 7,422 "," 1,713 ", 1.4 , 0.3 ," 19,212 "," 2,036 ", 3.7 , 0.4 ," 124,492 "," 6,896 ", 23.7 , 1.3 ," 117,595 "," 6,445 ", 22.4 , 1.2 ," 46,380 "," 3,522 ", 8.8 , 0.7 ," 132,966 "," 7,023 ", 25.3 , 1.2 ," 77,662 "," 4,916 ", 14.8 , 0.9 ," 499,095 "," 7,229 ", 94.9 , 0.5 ," 210,628 "," 7,709 ", 40.1 , 1.3 ,
148,IL,Illinois,15," 532,371 "," 4,362 "," 17,323 "," 1,875 ", 3.3 , 0.4 ," 36,130 "," 2,574 ", 6.8 , 0.5 ," 182,687 "," 4,705 ", 34.3 , 0.8 ," 131,779 "," 4,969 ", 24.8 , 0.9 ," 65,834 "," 3,459 ", 12.4 , 0.6 ," 65,766 "," 4,014 ", 12.4 , 0.7 ," 32,852 "," 2,648 ", 6.2 , 0.5 ," 478,918 "," 5,610 ", 90.0 , 0.6 ," 98,618 "," 4,494 ", 18.5 , 0.8 ,
149,IL,Illinois,16," 520,730 "," 4,681 "," 11,612 "," 1,759 ", 2.2 , 0.3 ," 35,477 "," 2,740 ", 6.8 , 0.5 ," 173,370 "," 5,377 ", 33.3 , 1.0 ," 131,365 "," 4,856 ", 25.2 , 0.9 ," 51,308 "," 3,286 ", 9.9 , 0.6 ," 77,192 "," 4,544 ", 14.8 , 0.9 ," 40,406 "," 2,802 ", 7.8 , 0.5 ," 473,641 "," 5,057 ", 91.0 , 0.6 ," 117,598 "," 5,191 ", 22.6 , 1.0 ,
150,IL,Illinois,17," 512,994 "," 5,263 "," 12,791 "," 1,552 ", 2.5 , 0.3 ," 41,460 "," 3,308 ", 8.1 , 0.6 ," 180,323 "," 5,453 ", 35.2 , 1.0 ," 135,030 "," 5,001 ", 26.3 , 0.9 ," 49,490 "," 2,812 ", 9.6 , 0.5 ," 64,298 "," 3,550 ", 12.5 , 0.7 ," 29,602 "," 2,741 ", 5.8 , 0.5 ," 458,743 "," 5,957 ", 89.4 , 0.6 ," 93,900 "," 4,777 ", 18.3 , 0.9 ,
151,IL,Illinois,18," 531,334 "," 6,741 "," 7,398 "," 1,182 ", 1.4 , 0.2 ," 26,188 "," 2,022 ", 4.9 , 0.4 ," 161,404 "," 5,310 ", 30.4 , 0.9 ," 123,574 "," 5,221 ", 23.3 , 0.9 ," 51,059 "," 3,169 ", 9.6 , 0.6 ," 103,186 "," 4,567 ", 19.4 , 0.8 ," 58,525 "," 3,124 ", 11.0 , 0.6 ," 497,748 "," 6,569 ", 93.7 , 0.5 ," 161,711 "," 5,115 ", 30.4 , 0.9 ,
152,IN,Indiana,1," 537,218 "," 2,969 "," 15,827 "," 2,673 ", 2.9 , 0.5 ," 39,082 "," 3,590 ", 7.3 , 0.7 ," 203,110 "," 6,687 ", 37.8 , 1.2 ," 119,820 "," 5,306 ", 22.3 , 1.0 ," 42,828 "," 3,416 ", 8.0 , 0.6 ," 75,903 "," 4,632 ", 14.1 , 0.8 ," 40,648 "," 3,184 ", 7.6 , 0.6 ," 482,309 "," 4,609 ", 89.8 , 0.8 ," 116,551 "," 5,485 ", 21.7 , 1.0 ,
153,IN,Indiana,2," 522,778 "," 3,982 "," 21,594 "," 2,540 ", 4.1 , 0.5 ," 47,509 "," 3,628 ", 9.1 , 0.7 ," 184,043 "," 5,217 ", 35.2 , 1.0 ," 114,242 "," 4,013 ", 21.9 , 0.7 ," 41,276 "," 2,990 ", 7.9 , 0.6 ," 74,939 "," 3,557 ", 14.3 , 0.7 ," 39,175 "," 2,467 ", 7.5 , 0.5 ," 453,675 "," 5,455 ", 86.8 , 0.8 ," 114,114 "," 4,405 ", 21.8 , 0.8 ,
154,IN,Indiana,3," 540,022 "," 2,746 "," 24,962 "," 3,092 ", 4.6 , 0.6 ," 39,506 "," 3,677 ", 7.3 , 0.7 ," 181,653 "," 5,625 ", 33.6 , 1.0 ," 118,858 "," 4,564 ", 22.0 , 0.8 ," 54,516 "," 3,339 ", 10.1 , 0.6 ," 80,216 "," 4,033 ", 14.9 , 0.8 ," 40,311 "," 3,028 ", 7.5 , 0.6 ," 475,554 "," 4,914 ", 88.1 , 0.9 ," 120,527 "," 4,951 ", 22.3 , 0.9 ,
155,IN,Indiana,4," 567,094 "," 4,245 "," 10,609 "," 2,017 ", 1.9 , 0.4 ," 44,664 "," 4,314 ", 7.9 , 0.8 ," 185,184 "," 6,418 ", 32.7 , 1.1 ," 144,319 "," 5,640 ", 25.4 , 1.0 ," 42,189 "," 4,078 ", 7.4 , 0.7 ," 94,729 "," 4,994 ", 16.7 , 0.9 ," 45,400 "," 3,406 ", 8.0 , 0.6 ," 511,821 "," 6,190 ", 90.3 , 0.8 ," 140,129 "," 5,562 ", 24.7 , 1.0 ,
156,IN,Indiana,5," 573,500 "," 6,937 "," 7,874 "," 1,442 ", 1.4 , 0.3 ," 31,757 "," 3,104 ", 5.5 , 0.5 ," 132,283 "," 5,741 ", 23.1 , 1.0 ," 111,666 "," 5,427 ", 19.5 , 0.9 ," 41,307 "," 3,766 ", 7.2 , 0.6 ," 159,493 "," 7,132 ", 27.8 , 1.2 ," 89,120 "," 5,082 ", 15.5 , 0.9 ," 533,869 "," 7,309 ", 93.1 , 0.6 ," 248,613 "," 7,376 ", 43.4 , 1.2 ,
157,IN,Indiana,6," 549,035 "," 2,722 "," 14,539 "," 2,027 ", 2.6 , 0.4 ," 44,936 "," 3,442 ", 8.2 , 0.6 ," 211,907 "," 7,232 ", 38.6 , 1.3 ," 123,259 "," 6,092 ", 22.5 , 1.1 ," 46,997 "," 3,654 ", 8.6 , 0.7 ," 70,573 "," 5,074 ", 12.9 , 0.9 ," 36,824 "," 3,687 ", 6.7 , 0.7 ," 489,560 "," 4,391 ", 89.2 , 0.7 ," 107,397 "," 6,257 ", 19.6 , 1.1 ,
158,IN,Indiana,7," 521,076 "," 6,956 "," 19,219 "," 3,018 ", 3.7 , 0.6 ," 55,057 "," 4,532 ", 10.6 , 0.8 ," 165,068 "," 6,261 ", 31.7 , 1.1 ," 121,074 "," 6,991 ", 23.2 , 1.3 ," 39,679 "," 3,429 ", 7.6 , 0.7 ," 83,617 "," 4,933 ", 16.0 , 1.0 ," 37,362 "," 3,174 ", 7.2 , 0.6 ," 446,800 "," 7,521 ", 85.7 , 1.0 ," 120,979 "," 6,071 ", 23.2 , 1.2 ,
159,IN,Indiana,8," 549,149 "," 2,287 "," 13,854 "," 1,708 ", 2.5 , 0.3 ," 44,235 "," 2,919 ", 8.1 , 0.5 ," 199,238 "," 6,520 ", 36.3 , 1.1 ," 126,328 "," 5,668 ", 23.0 , 1.0 ," 55,295 "," 3,494 ", 10.1 , 0.6 ," 74,429 "," 4,732 ", 13.6 , 0.9 ," 35,770 "," 3,261 ", 6.5 , 0.6 ," 491,060 "," 4,113 ", 89.4 , 0.6 ," 110,199 "," 5,755 ", 20.1 , 1.1 ,
160,IN,Indiana,9," 575,308 "," 3,657 "," 13,440 "," 2,280 ", 2.3 , 0.4 ," 45,094 "," 3,561 ", 7.8 , 0.6 ," 184,388 "," 6,497 ", 32.1 , 1.1 ," 136,666 "," 5,557 ", 23.8 , 0.9 ," 51,280 "," 3,647 ", 8.9 , 0.6 ," 93,652 "," 5,138 ", 16.3 , 0.9 ," 50,788 "," 4,181 ", 8.8 , 0.7 ," 516,774 "," 5,194 ", 89.8 , 0.7 ," 144,440 "," 6,565 ", 25.1 , 1.1 ,
161,IA,Iowa,1," 580,187 "," 2,876 "," 10,403 "," 1,605 ", 1.8 , 0.3 ," 31,841 "," 2,501 ", 5.5 , 0.4 ," 186,334 "," 4,930 ", 32.1 , 0.8 ," 139,524 "," 5,188 ", 24.0 , 0.9 ," 66,233 "," 3,357 ", 11.4 , 0.6 ," 103,434 "," 4,441 ", 17.8 , 0.8 ," 42,418 "," 2,561 ", 7.3 , 0.4 ," 537,943 "," 3,750 ", 92.7 , 0.5 ," 145,852 "," 5,252 ", 25.1 , 0.9 ,
162,IA,Iowa,2," 581,525 "," 2,670 "," 14,502 "," 2,100 ", 2.5 , 0.4 ," 32,181 "," 3,024 ", 5.5 , 0.5 ," 181,637 "," 5,240 ", 31.2 , 0.9 ," 138,368 "," 5,425 ", 23.8 , 0.9 ," 62,570 "," 3,692 ", 10.8 , 0.6 ," 100,403 "," 4,470 ", 17.3 , 0.7 ," 51,864 "," 3,259 ", 8.9 , 0.6 ," 534,842 "," 5,127 ", 92.0 , 0.7 ," 152,267 "," 5,266 ", 26.2 , 0.9 ,
163,IA,Iowa,3," 601,044 "," 3,898 "," 10,445 "," 1,527 ", 1.7 , 0.3 ," 27,957 "," 3,024 ", 4.7 , 0.5 ," 165,086 "," 6,343 ", 27.5 , 1.0 ," 130,362 "," 4,734 ", 21.7 , 0.8 ," 67,070 "," 4,197 ", 11.2 , 0.7 ," 143,505 "," 5,866 ", 23.9 , 1.0 ," 56,619 "," 4,372 ", 9.4 , 0.7 ," 562,642 "," 4,497 ", 93.6 , 0.5 ," 200,124 "," 7,170 ", 33.3 , 1.2 ,
164,IA,Iowa,4," 564,463 "," 2,859 "," 13,685 "," 1,812 ", 2.4 , 0.3 ," 26,732 "," 2,215 ", 4.7 , 0.4 ," 181,685 "," 4,626 ", 32.2 , 0.8 ," 142,529 "," 4,629 ", 25.3 , 0.8 ," 71,368 "," 3,375 ", 12.6 , 0.6 ," 92,602 "," 4,094 ", 16.4 , 0.7 ," 35,862 "," 2,091 ", 6.4 , 0.4 ," 524,046 "," 3,835 ", 92.8 , 0.5 ," 128,464 "," 4,779 ", 22.8 , 0.8 ,
165,KS,Kansas,1," 502,712 "," 3,509 "," 12,442 "," 1,704 ", 2.5 , 0.3 ," 31,720 "," 3,075 ", 6.3 , 0.6 ," 141,894 "," 4,827 ", 28.2 , 0.9 ," 148,118 "," 5,315 ", 29.5 , 1.1 ," 49,034 "," 2,920 ", 9.8 , 0.6 ," 79,479 "," 4,777 ", 15.8 , 1.0 ," 40,025 "," 2,595 ", 8.0 , 0.5 ," 458,550 "," 3,785 ", 91.2 , 0.7 ," 119,504 "," 5,525 ", 23.8 , 1.1 ,
166,KS,Kansas,2," 538,594 "," 2,980 "," 10,243 "," 1,712 ", 1.9 , 0.3 ," 29,071 "," 2,675 ", 5.4 , 0.5 ," 166,239 "," 5,081 ", 30.9 , 0.9 ," 145,338 "," 5,039 ", 27.0 , 0.9 ," 44,292 "," 2,938 ", 8.2 , 0.5 ," 89,919 "," 4,631 ", 16.7 , 0.9 ," 53,492 "," 3,793 ", 9.9 , 0.7 ," 499,280 "," 3,701 ", 92.7 , 0.5 ," 143,411 "," 5,119 ", 26.6 , 0.9 ,
167,KS,Kansas,3," 534,532 "," 3,744 "," 6,396 "," 1,033 ", 1.2 , 0.2 ," 21,154 "," 2,400 ", 4.0 , 0.4 ," 103,781 "," 4,491 ", 19.4 , 0.8 ," 110,692 "," 4,573 ", 20.7 , 0.8 ," 44,127 "," 2,558 ", 8.3 , 0.5 ," 160,373 "," 5,699 ", 30.0 , 1.1 ," 88,009 "," 4,472 ", 16.5 , 0.9 ," 506,982 "," 3,835 ", 94.8 , 0.5 ," 248,382 "," 5,628 ", 46.5 , 1.1 ,
168,KS,Kansas,4," 515,676 "," 3,192 "," 12,731 "," 1,770 ", 2.5 , 0.3 ," 29,123 "," 2,724 ", 5.6 , 0.5 ," 141,880 "," 5,600 ", 27.5 , 1.1 ," 136,403 "," 5,941 ", 26.5 , 1.1 ," 51,216 "," 4,244 ", 9.9 , 0.8 ," 93,325 "," 4,588 ", 18.1 , 0.9 ," 50,998 "," 3,388 ", 9.9 , 0.7 ," 473,822 "," 3,729 ", 91.9 , 0.6 ," 144,323 "," 5,367 ", 28.0 , 1.0 ,
169,KY,Kentucky,1," 552,530 "," 3,169 "," 26,266 "," 2,487 ", 4.8 , 0.5 ," 50,054 "," 4,440 ", 9.1 , 0.8 ," 213,537 "," 5,985 ", 38.6 , 1.1 ," 125,821 "," 4,937 ", 22.8 , 0.9 ," 45,881 "," 3,281 ", 8.3 , 0.6 ," 55,668 "," 4,176 ", 10.1 , 0.7 ," 35,303 "," 2,745 ", 6.4 , 0.5 ," 476,210 "," 6,102 ", 86.2 , 0.9 ," 90,971 "," 5,413 ", 16.5 , 1.0 ,
170,KY,Kentucky,2," 577,362 "," 4,615 "," 22,663 "," 2,176 ", 3.9 , 0.4 ," 45,724 "," 4,063 ", 7.9 , 0.7 ," 208,390 "," 6,311 ", 36.1 , 1.1 ," 137,329 "," 5,020 ", 23.8 , 0.9 ," 52,998 "," 4,238 ", 9.2 , 0.7 ," 67,449 "," 4,313 ", 11.7 , 0.7 ," 42,809 "," 2,850 ", 7.4 , 0.5 ," 508,975 "," 6,101 ", 88.2 , 0.8 ," 110,258 "," 5,171 ", 19.1 , 0.8 ,
171,KY,Kentucky,3," 553,926 "," 3,786 "," 14,480 "," 2,197 ", 2.6 , 0.4 ," 38,084 "," 3,585 ", 6.9 , 0.6 ," 148,675 "," 6,642 ", 26.8 , 1.2 ," 132,071 "," 5,379 ", 23.8 , 1.0 ," 46,423 "," 3,770 ", 8.4 , 0.7 ," 106,700 "," 5,214 ", 19.3 , 0.9 ," 67,493 "," 3,905 ", 12.2 , 0.7 ," 501,362 "," 5,459 ", 90.5 , 0.8 ," 174,193 "," 6,445 ", 31.4 , 1.2 ,
172,KY,Kentucky,4," 565,232 "," 4,216 "," 16,810 "," 2,260 ", 3.0 , 0.4 ," 35,959 "," 2,918 ", 6.4 , 0.5 ," 179,790 "," 5,347 ", 31.8 , 0.9 ," 131,274 "," 5,743 ", 23.2 , 1.0 ," 46,361 "," 2,934 ", 8.2 , 0.5 ," 95,591 "," 4,571 ", 16.9 , 0.8 ," 59,447 "," 3,435 ", 10.5 , 0.6 ," 512,463 "," 5,834 ", 90.7 , 0.7 ," 155,038 "," 5,128 ", 27.4 , 0.9 ,
173,KY,Kentucky,5," 537,877 "," 3,689 "," 50,910 "," 4,204 ", 9.5 , 0.8 ," 62,212 "," 3,921 ", 11.6 , 0.7 ," 210,309 "," 6,448 ", 39.1 , 1.1 ," 107,623 "," 5,484 ", 20.0 , 1.0 ," 38,928 "," 3,192 ", 7.2 , 0.6 ," 36,855 "," 3,197 ", 6.9 , 0.6 ," 31,040 "," 2,909 ", 5.8 , 0.5 ," 424,755 "," 6,259 ", 79.0 , 1.0 ," 67,895 "," 4,621 ", 12.6 , 0.9 ,
174,KY,Kentucky,6," 581,992 "," 4,750 "," 18,838 "," 2,502 ", 3.2 , 0.4 ," 40,094 "," 3,647 ", 6.9 , 0.6 ," 165,357 "," 6,133 ", 28.4 , 1.0 ," 140,327 "," 5,910 ", 24.1 , 1.0 ," 47,850 "," 3,406 ", 8.2 , 0.6 ," 101,591 "," 4,498 ", 17.5 , 0.8 ," 67,935 "," 4,457 ", 11.7 , 0.8 ," 523,060 "," 6,335 ", 89.9 , 0.6 ," 169,526 "," 6,110 ", 29.1 , 1.1 ,
175,LA,Louisiana,1," 594,231 "," 7,375 "," 22,976 "," 3,215 ", 3.9 , 0.5 ," 46,326 "," 3,707 ", 7.8 , 0.6 ," 181,597 "," 8,281 ", 30.6 , 1.3 ," 133,569 "," 6,806 ", 22.5 , 1.2 ," 37,836 "," 3,414 ", 6.4 , 0.6 ," 113,783 "," 6,149 ", 19.1 , 1.0 ," 58,144 "," 3,772 ", 9.8 , 0.6 ," 524,929 "," 7,623 ", 88.3 , 0.8 ," 171,927 "," 6,946 ", 28.9 , 1.1 ,
176,LA,Louisiana,2," 587,115 "," 8,471 "," 18,967 "," 2,427 ", 3.2 , 0.4 ," 72,122 "," 5,123 ", 12.3 , 0.8 ," 187,613 "," 8,534 ", 32.0 , 1.4 ," 144,049 "," 6,417 ", 24.5 , 1.1 ," 33,507 "," 3,290 ", 5.7 , 0.5 ," 84,066 "," 4,436 ", 14.3 , 0.7 ," 46,791 "," 3,597 ", 8.0 , 0.6 ," 496,026 "," 8,942 ", 84.5 , 1.0 ," 130,857 "," 5,083 ", 22.3 , 0.8 ,
177,LA,Louisiana,3," 577,604 "," 2,928 "," 28,375 "," 3,231 ", 4.9 , 0.6 ," 61,411 "," 4,719 ", 10.6 , 0.8 ," 212,519 "," 7,251 ", 36.8 , 1.3 ," 128,338 "," 6,608 ", 22.2 , 1.1 ," 31,824 "," 3,252 ", 5.5 , 0.6 ," 81,119 "," 4,193 ", 14.0 , 0.7 ," 34,018 "," 2,906 ", 5.9 , 0.5 ," 487,818 "," 6,243 ", 84.5 , 1.1 ," 115,137 "," 4,701 ", 19.9 , 0.8 ,
178,LA,Louisiana,4," 559,310 "," 2,947 "," 19,471 "," 2,411 ", 3.5 , 0.4 ," 60,020 "," 4,469 ", 10.7 , 0.8 ," 216,739 "," 7,500 ", 38.8 , 1.3 ," 118,730 "," 5,772 ", 21.2 , 1.0 ," 43,715 "," 3,597 ", 7.8 , 0.6 ," 67,763 "," 5,082 ", 12.1 , 0.9 ," 32,872 "," 3,370 ", 5.9 , 0.6 ," 479,819 "," 5,258 ", 85.8 , 0.9 ," 100,635 "," 5,984 ", 18.0 , 1.1 ,
179,LA,Louisiana,5," 555,804 "," 4,901 "," 26,500 "," 2,383 ", 4.8 , 0.4 ," 70,036 "," 5,023 ", 12.6 , 0.9 ," 217,657 "," 6,740 ", 39.2 , 1.2 ," 125,996 "," 6,409 ", 22.7 , 1.1 ," 29,380 "," 3,163 ", 5.3 , 0.6 ," 58,938 "," 4,297 ", 10.6 , 0.8 ," 27,297 "," 2,645 ", 4.9 , 0.5 ," 459,268 "," 6,544 ", 82.6 , 1.0 ," 86,235 "," 5,304 ", 15.5 , 0.9 ,
180,LA,Louisiana,6," 585,015 "," 7,251 "," 16,394 "," 2,792 ", 2.8 , 0.5 ," 40,897 "," 4,332 ", 7.0 , 0.7 ," 183,341 "," 8,545 ", 31.3 , 1.4 ," 145,679 "," 8,060 ", 24.9 , 1.3 ," 35,651 "," 3,424 ", 6.1 , 0.6 ," 107,690 "," 6,342 ", 18.4 , 1.1 ," 55,363 "," 4,124 ", 9.5 , 0.7 ," 527,724 "," 6,928 ", 90.2 , 0.8 ," 163,053 "," 6,800 ", 27.9 , 1.2 ,
181,ME,Maine,1," 546,625 "," 3,606 "," 9,218 "," 1,729 ", 1.7 , 0.3 ," 21,182 "," 2,484 ", 3.9 , 0.5 ," 148,584 "," 6,006 ", 27.2 , 1.1 ," 118,434 "," 5,266 ", 21.7 , 0.9 ," 49,043 "," 3,093 ", 9.0 , 0.6 ," 125,615 "," 4,788 ", 23.0 , 0.9 ," 74,549 "," 4,019 ", 13.6 , 0.7 ," 516,225 "," 4,663 ", 94.4 , 0.6 ," 200,164 "," 5,976 ", 36.6 , 1.1 ,
182,ME,Maine,2," 524,036 "," 3,159 "," 15,382 "," 2,345 ", 2.9 , 0.4 ," 31,342 "," 2,366 ", 6.0 , 0.5 ," 193,922 "," 5,762 ", 37.0 , 1.1 ," 118,291 "," 4,583 ", 22.6 , 0.8 ," 50,258 "," 3,171 ", 9.6 , 0.6 ," 79,583 "," 3,360 ", 15.2 , 0.6 ," 35,258 "," 2,357 ", 6.7 , 0.5 ," 477,312 "," 4,701 ", 91.1 , 0.6 ," 114,841 "," 4,004 ", 21.9 , 0.8 ,
183,MD,Maryland,1," 567,926 "," 5,943 "," 11,726 "," 1,731 ", 2.1 , 0.3 ," 37,787 "," 3,154 ", 6.7 , 0.6 ," 177,042 "," 5,468 ", 31.2 , 1.0 ," 127,075 "," 5,805 ", 22.4 , 1.0 ," 41,891 "," 2,608 ", 7.4 , 0.4 ," 105,136 "," 5,471 ", 18.5 , 0.9 ," 67,269 "," 4,064 ", 11.8 , 0.7 ," 518,413 "," 6,945 ", 91.3 , 0.6 ," 172,405 "," 7,027 ", 30.4 , 1.1 ,
184,MD,Maryland,2," 560,167 "," 10,243 "," 16,574 "," 3,142 ", 3.0 , 0.6 ," 34,985 "," 3,004 ", 6.2 , 0.5 ," 161,499 "," 8,116 ", 28.8 , 1.2 ," 129,727 "," 6,047 ", 23.2 , 0.9 ," 41,263 "," 3,300 ", 7.4 , 0.6 ," 101,022 "," 5,364 ", 18.0 , 1.0 ," 75,097 "," 4,949 ", 13.4 , 0.9 ," 508,608 "," 10,033 ", 90.8 , 0.7 ," 176,119 "," 6,098 ", 31.4 , 1.2 ,
185,MD,Maryland,3," 545,892 "," 12,375 "," 10,209 "," 2,011 ", 1.9 , 0.4 ," 25,162 "," 3,147 ", 4.6 , 0.6 ," 111,377 "," 6,692 ", 20.4 , 1.1 ," 105,942 "," 6,473 ", 19.4 , 1.1 ," 34,241 "," 3,619 ", 6.3 , 0.6 ," 143,984 "," 6,659 ", 26.4 , 1.0 ," 114,977 "," 5,638 ", 21.1 , 1.0 ," 510,521 "," 11,922 ", 93.5 , 0.6 ," 258,961 "," 8,640 ", 47.4 , 1.3 ,
186,MD,Maryland,4," 503,398 "," 11,202 "," 11,427 "," 1,893 ", 2.3 , 0.4 ," 27,961 "," 2,799 ", 5.6 , 0.6 ," 129,278 "," 5,948 ", 25.7 , 1.2 ," 123,933 "," 7,119 ", 24.6 , 1.1 ," 34,678 "," 3,077 ", 6.9 , 0.6 ," 106,875 "," 6,797 ", 21.2 , 1.1 ," 69,246 "," 4,734 ", 13.8 , 1.0 ," 464,010 "," 11,428 ", 92.2 , 0.7 ," 176,121 "," 7,126 ", 35.0 , 1.2 ,
187,MD,Maryland,5," 556,897 "," 9,297 "," 9,108 "," 1,710 ", 1.6 , 0.3 ," 26,920 "," 3,257 ", 4.8 , 0.6 ," 150,696 "," 6,428 ", 27.1 , 1.1 ," 140,038 "," 6,103 ", 25.1 , 1.0 ," 39,331 "," 2,949 ", 7.1 , 0.5 ," 113,166 "," 5,583 ", 20.3 , 0.9 ," 77,638 "," 3,928 ", 13.9 , 0.7 ," 520,869 "," 10,330 ", 93.5 , 0.7 ," 190,804 "," 7,161 ", 34.3 , 1.1 ,
188,MD,Maryland,6," 523,698 "," 8,346 "," 11,779 "," 2,244 ", 2.2 , 0.4 ," 27,784 "," 2,807 ", 5.3 , 0.6 ," 131,280 "," 5,985 ", 25.1 , 1.1 ," 104,816 "," 5,888 ", 20.0 , 1.0 ," 41,238 "," 3,349 ", 7.9 , 0.6 ," 114,476 "," 5,223 ", 21.9 , 0.9 ," 92,325 "," 5,066 ", 17.6 , 0.9 ," 484,135 "," 9,101 ", 92.4 , 0.7 ," 206,801 "," 7,840 ", 39.5 , 1.3 ,
189,MD,Maryland,7," 528,398 "," 10,931 "," 14,993 "," 1,924 ", 2.8 , 0.4 ," 42,520 "," 3,366 ", 8.0 , 0.7 ," 138,110 "," 7,854 ", 26.1 , 1.3 ," 111,925 "," 6,074 ", 21.2 , 1.0 ," 31,056 "," 2,932 ", 5.9 , 0.5 ," 103,203 "," 5,525 ", 19.5 , 0.9 ," 86,591 "," 5,067 ", 16.4 , 0.9 ," 470,885 "," 11,934 ", 89.1 , 0.8 ," 189,794 "," 7,995 ", 35.9 , 1.3 ,
190,MD,Maryland,8," 533,774 "," 9,035 "," 12,011 "," 2,075 ", 2.3 , 0.4 ," 22,567 "," 3,106 ", 4.2 , 0.6 ," 89,808 "," 4,914 ", 16.8 , 0.8 ," 87,569 "," 5,070 ", 16.4 , 0.8 ," 30,438 "," 2,121 ", 5.7 , 0.4 ," 138,741 "," 5,845 ", 26.0 , 1.1 ," 152,640 "," 5,318 ", 28.6 , 1.0 ," 499,196 "," 8,636 ", 93.5 , 0.7 ," 291,381 "," 6,286 ", 54.6 , 1.1 ,
191,MA,Massachusetts,1," 568,024 "," 5,218 "," 21,501 "," 2,407 ", 3.8 , 0.4 ," 47,878 "," 3,858 ", 8.4 , 0.7 ," 168,513 "," 6,328 ", 29.7 , 1.1 ," 119,025 "," 5,650 ", 21.0 , 1.0 ," 51,702 "," 3,733 ", 9.1 , 0.6 ," 98,511 "," 5,292 ", 17.3 , 0.9 ," 60,894 "," 3,386 ", 10.7 , 0.6 ," 498,645 "," 5,527 ", 87.8 , 0.8 ," 159,405 "," 5,839 ", 28.1 , 1.0 ,
192,MA,Massachusetts,2," 558,962 "," 8,532 "," 10,877 "," 1,805 ", 1.9 , 0.3 ," 27,394 "," 2,964 ", 4.9 , 0.5 ," 142,691 "," 5,816 ", 25.5 , 1.0 ," 128,700 "," 5,409 ", 23.0 , 0.9 ," 45,337 "," 3,421 ", 8.1 , 0.6 ," 122,005 "," 5,495 ", 21.8 , 0.9 ," 81,958 "," 4,562 ", 14.7 , 0.8 ," 520,691 "," 9,194 ", 93.2 , 0.6 ," 203,963 "," 6,998 ", 36.5 , 1.0 ,
193,MA,Massachusetts,3," 543,580 "," 9,566 "," 19,912 "," 2,375 ", 3.7 , 0.4 ," 35,924 "," 3,188 ", 6.6 , 0.6 ," 140,895 "," 6,848 ", 25.9 , 1.1 ," 107,707 "," 5,585 ", 19.8 , 1.0 ," 41,539 "," 3,190 ", 7.6 , 0.6 ," 117,417 "," 5,123 ", 21.6 , 0.8 ," 80,186 "," 4,247 ", 14.8 , 0.8 ," 487,744 "," 9,451 ", 89.7 , 0.7 ," 197,603 "," 7,258 ", 36.4 , 1.2 ,
194,MA,Massachusetts,4," 559,943 "," 7,776 "," 11,369 "," 1,780 ", 2.0 , 0.3 ," 24,581 "," 2,766 ", 4.4 , 0.5 ," 121,145 "," 5,964 ", 21.6 , 1.1 ," 96,416 "," 5,342 ", 17.2 , 0.9 ," 38,926 "," 3,539 ", 7.0 , 0.6 ," 140,418 "," 5,929 ", 25.1 , 1.0 ," 127,088 "," 6,429 ", 22.7 , 1.1 ," 523,993 "," 7,812 ", 93.6 , 0.6 ," 267,506 "," 6,666 ", 47.8 , 1.0 ,
